Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team B - Player 1,Team B - Player 2,Team B - Player 3
Group Stage,Mixed,Group C (set 5-7),1,Single game,Late Night Paella,Creed Energy,Late Night Paella,15,8,,,,,Esaja Ekman,Nicole Fatt,,Alina Pîrlea,Ciprian Bizdideanu,
Group Stage,Mixed,Group C (set 5-7),1,Single game,Wonka washed,Seb feat. Bob-mixed,Wonka washed,15,7,,,,,Emil Grönebaum,Lou Washburn,,Irina Bob,Sebi Mezzey,
Group Stage,Mixed,Group C (set 5-7),1,Single game,Grober Heinz,P🍄WER UP!,P🍄WER UP!,12,15,,,,,Julia Grob,Yvo Heinen,Julia Grob,Britt Vankemenade,joeri vlassaks,
Group Stage,Mixed,Group D ( set 8-10),1,Single game,Pinkey Jinkey,Key of happiness,Pinkey Jinkey,15,11,,,,,Alina Teskey,David Jindra,,Felicia Höchtl,Tobias Alraun,
Group Stage,Mixed,Group D ( set 8-10),1,Single game,Grantschmann and Kornetto,Hasty and Dirty Roundnet,Grantschmann and Kornetto,15,11,,,,,Stefan Handschmann,Ines Kornek,,Costanza Patat,Lukas Lemberger,
Group Stage,Mixed,Group D ( set 8-10),1,Single game,Trash TV,BlockWiener,Trash TV,15,7,,,,,Vivien Less,Tim Bichler,,Pol Loutsch,Angelika Bauer,
Group Stage,Mixed,Group A (set 1-2),2,Single game,It's a 30,Euro Unity,It's a 30,15,11,,,,,Daniela Kadlec,Yosha Vandaele,,Sabina Labonc,Aleksandrs Juška,
Group Stage,Mixed,Group A (set 1-2),2,Single game,Let‘s Gogo,Spike’s parents,Spike’s parents,12,15,,,,,Gabriel Stoisser,Constanze Lehner,,Ellinor Gustavsson,Felix Millton,
Group Stage,Mixed,Group B (set 3-4),2,Single game,UniLey,Otter,UniLey,15,12,,,,,Megan Leybourne,Nelson Dziruni,,Yasmin Graeter,Jorge Donayre,
Group Stage,Mixed,Group B (set 3-4),2,Single game,Mereri Victoria,Code Blue,Code Blue,20,21,,,,,Aylin Altenwegner,Jaroslav Čabala,,Jakub Víšek,Tereza Caltová,
Group Stage,Mixed,Group C (set 5-7),2,Single game,Late Night Paella,Seb feat. Bob-mixed,Late Night Paella,17,15,,,,,Esaja Ekman,Nicole Fatt,,Irina Bob,Sebi Mezzey,
